user_id,user_name,chat_lv,date,time,chat_txt,informs
810731230,-,落命,2022-02-26,14:15:06,弓的话，建议你们多刷几次魔像，那个拿弓的魔像会掉魔像大弓，应该是最强力的弓了,
810731230,-,落命,2022-02-26,14:16:46,然后箭的话，神恩塔的魔像掉的是物理箭，坦利德那个什么水岸的蓝色魔像掉的是魔法箭,
2020140761,2020140761,unk,2022-02-26,14:21:07,有人联机打月女王吗，UU双击查看原图双击查看原图,
2020140761,2020140761,unk,2022-02-26,14:21:38,一吊毛跑来帮我给BOSS加个血就跑了,
810731230,-,落命,2022-02-26,14:22:06,,
2670863481,松萝,落命,2022-02-26,14:36:39,不是我到那个地下室有个南瓜头我打死了没别的npc啦,
781914296,小冷,千讨,2022-02-26,14:45:45,里面有铁门啊，拉开就有了,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,14:48:57,进大地图之后掉帧有点厉害,
10242898,瘾大技术差的兔子,游戏姬,2022-02-26,14:51:18,联机有点烦 不像别的游戏可以没有限制一直一起玩,
10242898,瘾大技术差的兔子,游戏姬,2022-02-26,14:51:22,,
2670863481,松萝,落命,2022-02-26,14:51:38,阿这,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,14:51:54,我只要看到视野宽广的地方，帧数就会掉20左右,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,14:52:19,开放世界没有优化好,
1450455745,假猎人,真•猎人,2022-02-26,15:08:10,哪这么夸张呀,1075376166
1450455745,假猎人,真•猎人,2022-02-26,15:08:27,我这很丝滑呀,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:08:49,你是开的多少特效,
1450455745,假猎人,真•猎人,2022-02-26,15:09:27,高画质，关阴影，低抗锯齿,
289606402,289606402,unk,2022-02-26,15:09:55,大家好,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:10:04,我是全高没调双击查看原图,
1450455745,假猎人,真•猎人,2022-02-26,15:10:17,没用的我就给关了,
1450455745,假猎人,真•猎人,2022-02-26,15:10:28,基本玩其他游戏都这样设置的,
1450455745,假猎人,真•猎人,2022-02-26,15:10:42,我觉得比消光2优化强多了,
1450455745,假猎人,真•猎人,2022-02-26,15:10:45,,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:12:38,开放世界，歧路亡羊,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:12:47,不知道去哪了,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:13:09,一血给了大树守卫,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:13:12,双击查看原图,
2670863481,松萝,落命,2022-02-26,15:13:43,,
1450455745,假猎人,真•猎人,2022-02-26,15:13:43,,
1450455745,假猎人,真•猎人,2022-02-26,15:14:02,我一血给的关卡前那堆小怪,
762620543,762620543,unk,2022-02-26,15:14:56,,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,15:16:07,我现在在风暴根脚的地下墓地，不知道对不对,
2253677868,2253677868,unk,2022-02-26,15:16:20,,
2253677868,2253677868,unk,2022-02-26,15:16:27,有没有大佬看看为什么放不了龙焰,
289606402,289606402,unk,2022-02-26,15:28:46,,
289606402,289606402,unk,2022-02-26,15:29:29,我打死龙人士兵掉了一万二结果骑马摔死了，平台回不去了双击查看原图,
289606402,289606402,unk,2022-02-26,15:31:30,上次有这种窒息感还是黑魂三打出来的八万多的魂掉了双击查看原图,
1450455745,假猎人,真•猎人,2022-02-26,15:50:09,@Zora @Zora 这个是祷告,
2253677868,2253677868,unk,2022-02-26,15:50:52,圣印记有更好的了吗。我去圆桌买了个预言家自带的那个,
1450455745,假猎人,真•猎人,2022-02-26,15:51:08,后边有,
2270762179,棋侍诏·,落命,2022-02-26,16:00:59,大家好,
2270762179,棋侍诏·,落命,2022-02-26,16:04:53,有人借号吗,
2270762179,棋侍诏·,落命,2022-02-26,16:04:55,可以给钱,
1104832060,_(:з」∠)_,千讨,2022-02-26,16:06:31,？,
2270762179,棋侍诏·,落命,2022-02-26,16:07:01,借steam号用,
2270762179,棋侍诏·,落命,2022-02-26,16:07:05,我点离线就行,
979399048,灵幻 ID：hdiuas,武人,2022-02-26,16:08:16,直接找破解呗,
2253677868,2253677868,unk,2022-02-26,16:08:26,pdd买共享号呗,
1104832060,_(:з」∠)_,千讨,2022-02-26,16:08:34,直接下破解呗,
2670863481,松萝,落命,2022-02-26,16:13:45,,
2270762179,棋侍诏·,落命,2022-02-26,16:14:17,能给链接不双击查看原图,
383682891,叶(pc,百斩,2022-02-26,16:15:28,买个联机玩呀,
383682891,叶(pc,百斩,2022-02-26,16:15:34,乐趣少一半,
465318435,十一,落命,2022-02-26,16:34:48,去3大妈啊,
2670863481,松萝,落命,2022-02-26,16:38:30,,
465318435,十一,落命,2022-02-26,16:39:25,哈哈，现在连这也能拼了,
2670863481,松萝,落命,2022-02-26,16:40:12,PC都能拼,
2670863481,松萝,落命,2022-02-26,16:40:15,,
465318435,十一,落命,2022-02-26,16:40:51,双击查看原图轮流玩吗，我运费怎么算,
781914296,小冷,千讨,2022-02-26,16:41:06,我突然登不上服务器,
781914296,小冷,千讨,2022-02-26,16:41:06,,
781914296,小冷,千讨,2022-02-26,16:41:12,你们登得上吗,
979399048,灵幻 ID：hdiuas,武人,2022-02-26,16:41:57,维护,
979399048,灵幻 ID：hdiuas,武人,2022-02-26,16:42:00,到6点,
781914296,小冷,千讨,2022-02-26,16:42:10,,
2670863481,松萝,落命,2022-02-26,16:44:39,我说的是品茶你想哪里去了双击查看原图,
465318435,十一,落命,2022-02-26,16:54:17,一人喝一口吗双击查看原图,
2178420735,炳,落命,2022-02-26,17:09:37,大家好，我是炳。来自吉林四平的巨蟹座男一枚~,
1450455745,假猎人,真•猎人,2022-02-26,17:09:47,补丁更新了啥,
2178420735,炳,落命,2022-02-26,17:13:06,预言家后期有啥好用的奇迹么，前期选个预言家感觉太弱了双击查看原图,
2020140761,2020140761,unk,2022-02-26,17:40:05,龙信出血流双击查看原图双击查看原图,
2020140761,2020140761,unk,2022-02-26,17:40:16,我瞎起的,
2020140761,2020140761,unk,2022-02-26,17:45:33,淦哦，刚叛教就给个法师武器,
2020140761,2020140761,unk,2022-02-26,17:45:53,,
2020140761,2020140761,unk,2022-02-26,17:46:07,群里法爷有兴趣可以去拿双击查看原图,
554595163,QingYing,落命,2022-02-26,17:51:18,服务器炸了吗,
554595163,QingYing,落命,2022-02-26,17:51:25,怎么连不上,
2020140761,2020140761,unk,2022-02-26,17:51:49,维护去了,
554595163,QingYing,落命,2022-02-26,17:52:21,我说咋回事来着,
1728507430,MOOONFAT,落命,2022-02-26,18:02:20,不是说4点到6点吗,
1728507430,MOOONFAT,落命,2022-02-26,18:02:28,现在好了不,
1035218203,Ciaran♠,王之刃,2022-02-26,18:02:52,我刚更新完,
2384922897,2384922897,unk,2022-02-26,18:14:04,大家好，我是Yang。来自广东深圳的双鱼座男一枚~,
2045681366,你的皮,落命,2022-02-26,18:14:06,大家好，我是你的皮。来自爱尔巴桑的狮子座男一枚~,
2384922897,2384922897,unk,2022-02-26,18:15:31,卡关了,
2384922897,2384922897,unk,2022-02-26,18:15:43,这个局壶又不能打,
2384922897,2384922897,unk,2022-02-26,18:15:47,,
2253677868,2253677868,unk,2022-02-26,18:15:48,,
2384922897,2384922897,unk,2022-02-26,18:15:49,烦死了,
2253677868,2253677868,unk,2022-02-26,18:16:10,一共几个小黄金树守卫,
2384922897,2384922897,unk,2022-02-26,18:16:12,这个肉壶打又不能打，又过不去,
383682891,叶(pc,百斩,2022-02-26,18:16:35,你们有更新嘛,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,18:29:12,太猛了,
2253677868,2253677868,unk,2022-02-26,18:29:45,,
2253677868,2253677868,unk,2022-02-26,18:29:48,,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,18:42:17,会炸自己血吗,
2253677868,2253677868,unk,2022-02-26,18:43:19,我12血炸到只剩三分之一…,
2253677868,2253677868,unk,2022-02-26,18:43:32,也不知道谁发明的这玩意,
1075376166,慢慢攒钱买VR的家捷士,嗯～家捷士,2022-02-26,18:44:27,只能对自己用吗,
2253677868,2253677868,unk,2022-02-26,18:45:32,是放在调的药里面的，应该只能自己喝,
2670863481,松萝,落命,2022-02-26,18:45:57,记忆空格为啥不能用啊,
2670863481,松萝,落命,2022-02-26,18:48:11,哦哦原来要坐火,
21482390,OrnSteinᴮᴰ,龍狩,2022-02-26,18:50:06,双击查看原图,
2384922897,2384922897,unk,2022-02-26,18:52:40,,
2384922897,2384922897,unk,2022-02-26,18:52:48,日荫城的女武神,
2384922897,2384922897,unk,2022-02-26,18:52:52,不错双击查看原图,
2670863481,松萝,落命,2022-02-26,18:55:40,金币7加的好多啊,
1700406320,1700406320,unk,2022-02-26,21:44:20,大家好，我是甜甜圈臭脚酱。,
1363904340,卡米酱呀,落命,2022-02-26,21:44:23,大家好，我是卡米酱呀。来自上海普陀的双鱼座男一枚~,
1713937301,水银弯刀,落命,2022-02-26,21:44:24,惨,
2549039875,逃离世界,千讨,2022-02-26,21:50:33,兄弟们，刚刚在游戏里看到其他玩家拿了把像结晶魔法一样的特大剑，有知道怎么拿的吗？,
2253677868,2253677868,unk,2022-02-26,21:50:59,很大一把蓝色的吗,
2549039875,逃离世界,千讨,2022-02-26,21:51:35,不知道，线上虚影玩家,
781914296,小冷,千讨,2022-02-26,21:51:59,铃珠有什么用？,
781914296,小冷,千讨,2022-02-26,21:52:09,有人知道吗,
2253677868,2253677868,unk,2022-02-26,21:52:24,卡利亚挥剑吧应该是,
2549039875,逃离世界,千讨,2022-02-26,21:52:32,魂3结晶老者知道吧，他放的那种结晶魔法，然后加个剑柄就是我看到的武器,
2253677868,2253677868,unk,2022-02-26,21:55:06,去圆桌给两个骷髅老太,781914296
781914296,小冷,千讨,2022-02-26,21:56:08,给了,
781914296,小冷,千讨,2022-02-26,21:56:15,什么有都没发生,
781914296,小冷,千讨,2022-02-26,21:56:28,所以我才想问问，有没人知道,
